address,#hits
198.38.108.135,329
23.246.7.166,327
45.57.1.148,327
23.246.15.141,327
23.246.7.138,326
45.57.45.223,325
198.38.119.146,325
23.246.15.161,325
108.175.42.149,325
198.38.117.151,324
23.246.45.147,324
23.246.30.178,324
108.175.42.139,323
23.246.6.149,322
23.246.14.139,322
23.246.7.168,322
23.246.16.163,321
23.246.15.164,320
23.246.54.143,319
23.246.7.163,319
90.223.190.154,319
198.38.116.154,319
198.38.119.162,319
23.246.7.136,317
23.246.54.141,317
173.246.157.193,316
108.175.43.170,316
23.246.31.176,315
198.38.98.181,315
23.246.14.162,315
198.38.125.200,315
108.175.42.130,315
23.246.15.166,314
23.246.14.159,313
23.246.14.133,313
23.246.15.163,313
198.38.116.148,312
108.175.34.229,308
108.175.42.151,308
198.38.119.145,308
23.246.7.159,308
23.246.6.136,307
108.175.46.116,307
23.246.45.144,307
23.246.30.163,307
23.246.14.140,306
108.175.47.179,305
23.246.6.163,304
198.38.116.147,304
23.246.6.157,304
198.38.118.149,304
23.246.31.175,304
23.246.45.134,304
108.175.43.163,303
23.246.6.161,303
198.38.119.167,303
198.38.116.143,302
23.246.7.150,301
23.246.15.160,300
198.38.116.151,299
23.246.45.135,299
90.208.115.84,299
23.246.6.158,297
90.208.115.83,297
23.246.6.154,297
198.38.117.150,296
198.38.116.146,296
198.45.62.165,296
23.246.7.174,296
23.246.7.157,294
23.246.15.137,293
198.38.119.144,293
108.175.43.187,293
108.175.42.216,292
23.246.14.156,292
108.175.42.145,292
23.246.14.164,290
108.175.38.217,290
198.38.125.182,290
198.38.98.211,290
23.246.7.141,290
90.223.190.156,289
23.246.7.132,289
23.246.7.148,289
23.246.6.169,288
45.57.44.222,288
103.2.116.58,287
173.246.157.251,287
23.246.7.134,286
198.38.116.141,286
90.223.194.204,286
198.45.62.176,285
198.38.116.153,285
23.246.6.156,284
23.246.7.161,283
173.246.157.252,283
37.77.187.138,282
23.246.15.156,282
23.246.45.136,280
45.57.26.162,279
23.246.7.160,279
23.246.15.132,279
23.246.45.140,279
23.246.15.140,278
23.246.30.176,277
23.246.15.142,274
23.246.30.147,273
23.246.15.157,273
198.38.119.147,272
23.246.7.140,271
198.38.125.178,270
108.175.43.161,270
90.223.194.202,270
90.223.190.162,270
23.246.6.146,269
23.246.6.140,268
198.38.109.162,268
23.246.6.155,267
198.38.108.162,267
198.38.99.199,266
90.223.190.164,266
198.38.119.140,265
23.246.15.162,265
90.223.190.155,264
90.208.115.82,259
23.246.48.141,258
23.246.30.146,257
23.246.7.137,257
23.246.7.142,256
198.38.125.172,255
23.246.16.157,255
198.38.119.149,254
23.246.6.168,254
90.223.190.163,254
198.38.124.207,253
108.175.47.160,253
23.246.7.155,249
